nlsfb;Category;Material choices;MKI per unit;CO2 per unit;Cost per unit;Unit
21.10;Walls;staal sandwichpanelen PIR/PUR;6;61;615;m2
21.10;Walls;falk cradle core;5;45;675;m2
21.10;Walls;houten skelet bouw PIR/PUR;4;35;525;m2
21.10;Walls;prefab beton;6;62;430;m2
27.11;Roofs;PIR/PUR, PVC;3;30;450;m2
27.11;Roofs;PIR/PUR, bitumen;3;29;435;m2
27.11;Roofs;PIR/PUR, citumen (circulair bitumen);2;23;545;m2
28.10;Columns;prefab beton;48;480;7200;m3
28.10;Columns;staal;94;9350;90250;m3
28.10;Columns;glulam;8;79;10185;m3
13.10;Floors;prefab beton;5;54;810;m2
13.10;Floors;clt;2;16;1040;m2
